frame,count,count_total,ratio
894,84,169,0.4970414201183432
876,84,169,0.4970414201183432
218,139,278,0.5
456,108,216,0.5
396,112,224,0.5
118,160,320,0.5
1425,61,122,0.5
1878,49,98,0.5
679,92,184,0.5
324,122,244,0.5
632,94,188,0.5
911,84,167,0.5029940119760479
1129,73,145,0.503448275862069
1435,63,125,0.504
1386,62,123,0.5040650406504065
1545,58,115,0.5043478260869565
471,107,212,0.5047169811320755
1989,49,97,0.5051546391752577
886,85,168,0.5059523809523809
1005,77,152,0.506578947368421
425,111,219,0.5068493150684932
542,101,199,0.507537688442211
578,98,193,0.5077720207253886
669,94,185,0.5081081081081081
683,93,183,0.5081967213114754
326,124,244,0.5081967213114754
138,155,305,0.5081967213114754
100,168,330,0.509090909090909
1042,76,149,0.5100671140939598
1972,50,98,0.5102040816326531
1111,75,147,0.5102040816326531
350,122,239,0.5104602510460251
371,120,235,0.5106382978723404
410,114,223,0.5112107623318386
1280,67,131,0.5114503816793893
1269,67,131,0.5114503816793893
544,102,199,0.5125628140703518
575,100,195,0.5128205128205128
1503,59,115,0.5130434782608696
1509,59,115,0.5130434782608696
620,97,189,0.5132275132275133
1649,58,113,0.5132743362831859
1032,77,150,0.5133333333333333
187,149,290,0.5137931034482759
76,180,350,0.5142857142857142
770,90,175,0.5142857142857142
1864,52,101,0.5148514851485149
547,103,200,0.515
1290,66,128,0.515625
1343,65,126,0.5158730158730159
151,155,300,0.5166666666666667
786,89,172,0.5174418604651163
948,84,162,0.5185185185185185
336,125,241,0.5186721991701245
1267,69,133,0.518796992481203
1815,55,106,0.5188679245283019
965,82,158,0.5189873417721519
1278,68,131,0.5190839694656488
382,119,229,0.519650655021834
74,183,352,0.5198863636363636
1379,65,125,0.52
806,89,171,0.52046783625731
624,99,190,0.5210526315789473
630,98,188,0.5212765957446809
315,129,247,0.5222672064777328
732,93,178,0.5224719101123596
103,172,329,0.5227963525835866
1772,57,109,0.5229357798165137
1288,68,130,0.5230769230769231
598,101,193,0.5233160621761658
385,122,233,0.5236051502145923
1417,64,122,0.5245901639344263
553,104,198,0.5252525252525253
1555,61,116,0.5258620689655172
178,155,294,0.5272108843537415
281,135,256,0.52734375
213,150,284,0.528169014084507
1849,56,106,0.5283018867924528
142,160,302,0.5298013245033113
106,174,328,0.5304878048780488
1975,52,98,0.5306122448979592
1640,60,113,0.5309734513274337
634,100,188,0.5319148936170213
259,141,265,0.5320754716981132
79,186,348,0.5344827586206896
1862,54,101,0.5346534653465347
554,106,198,0.5353535353535354
1437,67,125,0.536
1926,52,97,0.5360824742268041
1388,66,123,0.5365853658536586
57,202,376,0.5372340425531915
1274,70,130,0.5384615384615384
1276,70,130,0.5384615384615384
1538,62,115,0.5391304347826087
1642,61,113,0.5398230088495575
673,100,185,0.5405405405405406
686,99,183,0.5409836065573771
1405,66,122,0.5409836065573771
1469,65,120,0.5416666666666666
736,96,177,0.5423728813559322
1002,83,153,0.5424836601307189
1292,70,129,0.5426356589147286
768,95,175,0.5428571428571428
1044,81,149,0.5436241610738255
1037,81,149,0.5436241610738255
1609,62,114,0.543859649122807
602,105,193,0.5440414507772021
415,121,222,0.545045045045045
1135,78,143,0.5454545454545454
295,138,253,0.5454545454545454
1782,59,108,0.5462962962962963
853,93,170,0.5470588235294118
1353,69,126,0.5476190476190477
1500,63,115,0.5478260869565217
216,154,281,0.5480427046263345
1419,67,122,0.5491803278688525
799,94,171,0.5497076023391813
1467,66,120,0.55
45,219,398,0.550251256281407
1770,60,109,0.5504587155963303
1983,54,98,0.5510204081632653
1955,54,98,0.5510204081632653
1888,54,98,0.5510204081632653
492,113,205,0.551219512195122
203,159,288,0.5520833333333334
1446,67,121,0.5537190082644629
1295,71,128,0.5546875
801,95,171,0.5555555555555556
88,189,340,0.5558823529411765
205,159,286,0.5559440559440559
877,94,169,0.5562130177514792
40,226,406,0.5566502463054187
1046,83,149,0.5570469798657718
1413,68,122,0.5573770491803278
1427,68,122,0.5573770491803278
418,124,222,0.5585585585585585
43,224,401,0.5586034912718204
1357,70,125,0.56
1440,70,125,0.56
1064,83,148,0.5608108108108109
2002,55,98,0.5612244897959183
1969,55,98,0.5612244897959183
1132,82,146,0.5616438356164384
1745,63,112,0.5625
413,125,222,0.5630630630630631
1807,62,110,0.5636363636363636
1371,70,124,0.5645161290322581
1285,74,131,0.5648854961832062
154,169,299,0.5652173913043478
906,95,168,0.5654761904761905
1444,69,122,0.5655737704918032
1871,56,99,0.5656565656565656
2005,55,97,0.5670103092783505
1753,63,111,0.5675675675675675
1097,84,148,0.5675675675675675
1471,67,118,0.5677966101694916
707,103,181,0.569060773480663
37,238,418,0.569377990430622
1297,73,128,0.5703125
734,101,177,0.5706214689265536
1264,76,133,0.5714285714285714
689,104,182,0.5714285714285714
1831,60,105,0.5714285714285714
61,213,372,0.5725806451612904
1140,82,143,0.5734265734265734
71,203,354,0.5734463276836158
1438,72,125,0.576
839,98,170,0.5764705882352941
1998,56,97,0.5773195876288659
211,164,284,0.5774647887323944
1345,73,126,0.5793650793650794
990,90,155,0.5806451612903226
63,214,368,0.5815217391304348
1952,57,98,0.5816326530612245
1960,57,98,0.5816326530612245
1429,71,122,0.5819672131147541
97,194,333,0.5825825825825826
943,96,164,0.5853658536585366
1979,58,99,0.5858585858585859
145,177,302,0.5860927152317881
721,105,179,0.5865921787709497
1053,88,150,0.5866666666666667
1142,84,143,0.5874125874125874
962,94,160,0.5875
1985,57,97,0.5876288659793815
1891,57,97,0.5876288659793815
841,100,170,0.5882352941176471
506,119,202,0.5891089108910891
1431,72,122,0.5901639344262295
1407,72,122,0.5901639344262295
1049,88,149,0.5906040268456376
1465,71,120,0.5916666666666667
1376,74,125,0.592
33,254,429,0.5920745920745921
1793,64,108,0.5925925925925926
1644,67,113,0.5929203539823009
1483,70,118,0.5932203389830508
1137,85,143,0.5944055944055944
376,138,232,0.5948275862068966
265,157,263,0.596958174904943
999,92,154,0.5974025974025974
691,109,182,0.5989010989010989
421,133,221,0.6018099547511312
428,132,219,0.6027397260273972
1373,76,126,0.6031746031746031
1368,75,124,0.6048387096774194
51,236,390,0.6051282051282051
66,220,363,0.6060606060606061
705,110,181,0.6077348066298343
469,129,212,0.6084905660377359
1533,70,115,0.6086956521739131
723,109,179,0.6089385474860335
1795,66,108,0.6111111111111112
476,129,211,0.6113744075829384
880,103,168,0.6130952380952381
1604,70,114,0.6140350877192983
